Track name,Artist name,Album,Playlist name,Type,ISRC
"Ти зі мною (Я здаюсь!)","Druga Rika","Metanoia, Pt. 1","Library Songs","Favorite","UALA11000147"
"Ти б не повірила","діти інженерів","Ти б не повірила - Single","Library Songs","Favorite","SE6XW2205613"
"Тени от пальм","Второй Ка","Тени от пальм - Single","Library Songs","Favorite","RUA1D2256796"
"Тебя нет","ssshhhiiittt!","Зло","Library Songs","Favorite","RUA0G1800553"
"твои волшебные мечты","Где Фантом?","твои волшебные мечты - Single","Library Songs","Favorite","RUA1D2121128"
"Твоего балкона свет","Peremotka","Начало прекрасной дружбы","Library Songs","Favorite","FR2X42039244"
"Тараканы (Remix)","PALC & BassnPanda","Тараканы (Remix) - Single","Library Songs","Favorite","SMRUS0067075"
"Танцы","ssshhhiiittt!","Последнее лето (Часть 2) - EP","Library Songs","Favorite","QZNJW2041958"
"Танці (feat. Sad Novelist)","SadSvit","Cassette","Library Songs","Favorite","GX53U2038144"
"Танець пінгвіна","Skryabin","Альбом (1989-2004)","Library Songs","Favorite","RUA1D2234858"
"Там, де нас нема","Okean Elzy","The Best Of","Library Songs","Favorite","USA371364802"
"Така, як ти","Svyatoslav Vakarchuk","Вночі","Library Songs","Favorite","USA371364767"
"Так хочу","Увула","Я думал у меня получится","Library Songs","Favorite","TCADF1708039"
"Так гріє","Valentin Strykalo","Смирись и расслабься!","Library Songs","Favorite","USHM91619251"
"Тайна","Увула","Нам остается лишь ждать","Library Songs","Favorite","QM4TX1960783"
"Тает лёд","Griby","Тает лёд - Single","Library Songs","Favorite","FR2X41711957"
"Сука війна!","Skryabin & Юркеш","Сука війна! - Single","Library Songs","Favorite","QM4TW2065280"
"Судно (Борис Рижий)","Molchat Doma","Этажи","Library Songs","Favorite","AEA0D1846146"
"Стук ""Одно лишь слово""","Viktor Tsoi & Kino","Виктор Цой и Группа Кино. Полная дискография","Library Songs","Favorite","TCADG1798140"
"Стріляй","Okean Elzy","Земля","Library Songs","Favorite","USV351348027"
"Старое кино","Peremotka","Best Up 2019","Library Songs","Favorite","FRX201944482"
"Старі фотографії (A.Muzon Remix)","Skryabin","Dance","Library Songs","Favorite","QM6N22082856"
"Старая магнитола","dolgostroy","В городе дождей - EP","Library Songs","Favorite","QZNJV2170614"
"Спокойная ночь","Viktor Tsoi & Kino","Виктор Цой и Группа Кино. Полная дискография","Library Songs","Favorite","TCADG1798134"
"спелая вишня","вчера после завтра","спелая вишня - Single","Library Songs","Favorite",""
"Спектакль окончен","Chernikovskaya Hata","Спектакль окончен - Single","Library Songs","Favorite","AEA2Z2314296"
"Сонник","Краснознамённая дивизия имени моей бабушки","Посмертные приключения","Library Songs","Favorite","FR2X41702708"
"Сон Вещий","Utro","Утро","Library Songs","Favorite","USCGH2062301"
"Солнце","Peremotka","Солнце - Single","Library Songs","Favorite","FR2X42148336"
"Солдатами не рождаются","Egor Letov","Вершки и корешки","Library Songs","Favorite","FRX201725345"
"Солдат","5'nizza","Пятница","Library Songs","Favorite","UALA11500042"
"Сокол","Bi-2","Мяу кисс ми","Library Songs","Favorite","RUA741913007"
"Советская","Михаил Елизаров","Зла не хватает","Library Songs","Favorite","AEA0D2065373"
"Снова привет (feat. Марний)","Улица Восток","Снова привет (feat. Марний) - Single","Library Songs","Favorite","FR96X2034770"
"Снова парк","Группа Хмурый","Картина 5, No. 19/12 - EP","Library Songs","Favorite","RUA1H1954058"
"Снова","Беспокойник","Снова - Single","Library Songs","Favorite","RUA1H2221552"
"Сни","Sudno","Сни - Single","Library Songs","Favorite","AEA2M2149027"
"Смута","RADIO TAPOK","Эпоха Империй","Library Songs","Favorite","TCAHH2367455"
"Сломаю стену","me & the boys","Кто сказал, что так думать неправильно? - EP","Library Songs","Favorite","QZHZ62094481"
"Следы на снегу","Улица Восток","Следы на снегу - Single","Library Songs","Favorite","FR2X42153358"
"Скованные одной цепью","Nautilus Pompilius","Князь тишины","Library Songs","Favorite","RUB421200529"
"Сказочная тайга","Agatha Christie","Опиум","Library Songs","Favorite","RUB421201405"
"Скажи мне кто ты","xxxmanera","Скажи мне кто ты - Single","Library Songs","Favorite","RUB422300519"
"Силуети","SadSvit & СТРУКТУРА ЩАСТЯ","Силуети - Single","Library Songs","Favorite","DGA052260347"
"Сибириада","Дмитрий Никулин","Огонь","Library Songs","Favorite","RUA1H2208672"
"Сибириада","Hexe","Апатрид","Library Songs","Favorite","FR59R2345676"
"Сибириада","Мафусаил","HD 140283","Library Songs","Favorite","DGA062315487"
"Сибириада","go go milk","Сибириада","Library Songs","Favorite","RUA3R1933603"
"Сёрф","Увула","Серф - Single","Library Songs","Favorite","QM4TX1991195"
"Серёжа","Valentin Strykalo","Смирись и расслабься!","Library Songs","Favorite","USHM91619247"
"Середина грустных лет","ssshhhiiittt!","Середина грустных лет - EP","Library Songs","Favorite","RUA0G1800185"
"Серебро","Bi-2","Би-2","Library Songs","Favorite","RUA741912011"
"Селигер","Михаил Елизаров","Солдатский гранж","Library Songs","Favorite","AEA0Q2065237"
"Секрет","Druga Rika","Піраміда","Library Songs","Favorite","UALA11500500"
"Секонд-хэнд","ssshhhiiittt!","Вторая жизнь","Library Songs","Favorite","RUA0G1700194"
"Сейчас","ssshhhiiittt!","Первая жизнь","Library Songs","Favorite","RUA0G1700177"
"Сега – винтовар","Valentin Strykalo","Часть чего-то большего","Library Songs","Favorite","USHM91619213"
"Сгорел","ssshhhiiittt!","Зло","Library Songs","Favorite","RUA0G1800556"
"Свой дом","Max Korzh","Свой дом - Single","Library Songs","Favorite","FRX202225417"
"Светомузыка","Дурной Вкус","Светомузыка - EP","Library Songs","Favorite","RUA1D2048307"
"Сан-Франциско","Car-Man","Car-Mania","Library Songs","Favorite","RUB421303751"
