Track name,Artist name,Album,Playlist name,Type,ISRC
"You Are (The Government)","Bad Religion","Suffer","Library Songs","Favorite","USEP40303101"
"You and Whose Army?","Radiohead","Amnesiac","Library Songs","Favorite","GBAYE0001580"
"You","Bad Religion","No Control","Library Songs","Favorite","USEP40403310"
"Yesterday","The Beatles","Help!","Library Songs","Favorite","GBAYE0601477"
"Yellow Submarine","The Beatles","Yellow Submarine","Library Songs","Favorite","GBAYE0601677"
"Yellow Ledbetter","Pearl Jam","Rearviewmirror: Greatest Hits 1991-2003","Library Songs","Favorite","USSM19200006"
"Yellow House","Softengine","We Created the World","Library Songs","Favorite","FIBAR1400426"
"Xmas Time of the Year","Green Day","Xmas Time of the Year - Single","Library Songs","Favorite","USRE11900560"
"X-Kid","Green Day","¡Tré!","Library Songs","Favorite","USRE11200535"
"Writing's On the Wall","Sam Smith","Writing's On the Wall - Single","Library Songs","Favorite","GBUM71505354"
"Wow! That's Loud","Green Day","¡Dos!","Library Songs","Favorite","USRE11200487"
"Would?","Alice In Chains","Dirt (Remastered)","Library Songs","Favorite","USSM19200805"
"Worry Rock","Green Day","Nimrod","Library Songs","Favorite","USRE11600595"
"World In Motion","New Order","The Best of New Order","Library Songs","Favorite","GBANP9400072"
"Words I Might Have Ate","Green Day","Kerplunk","Library Songs","Favorite","USA560436623"
"Wonderwall (Remastered)","Oasis","(What's The Story) Morning Glory? [Deluxe Remastered Edition]","Library Songs","Favorite","GBQCP1400149"
"Wonderful Life","Smith & Burrows","Funny Looking Angels","Library Songs","Favorite","GBGAC1100034"
"Wonderful Life","BLACK","Wonderful Life","Library Songs","Favorite","GBAAM8700001"
"Won’t Stand Down","Muse","Will Of The People","Library Songs","Favorite","GBAHT2102036"
"Won't Somebody (Acoustic)","Bad Religion","New Maps of Hell (Deluxe Edition)","Library Songs","Favorite","USEP40713121"
"Won't Somebody","Bad Religion","The Dissent of Man (Bonus Track Version)","Library Songs","Favorite","USEP41018004"
"Woman","Wolfmother","Wolfmother (10th Anniversary Deluxe Edition)","Library Songs","Favorite","AUUM70500113"
"Wołyń 1943","Horytnica","Pod Znakiem Miecza","Library Songs","Favorite","QZFZ31954500"
"Without You","Harry Nilsson","Nilsson Schmilsson","Library Songs","Favorite","USRC17101019"
"With You","The Subways","Young for Eternity (Deluxe Edition)","Library Songs","Favorite","GBAHT0500220"
"With or Without You","U2","The Joshua Tree (20th Anniversary Deluxe Edition)","Library Songs","Favorite","GBUM70709792"
"With Me","Sum 41","All the Good Sh**: 14 Solid Gold Hits 2000-2008 (Deluxe Edition)","Library Songs","Favorite","USUM70740344"
"With Every Step","Disco Ensemble","Warriors","Library Songs","Favorite","FIBAR1200183"
"Wish You Were Here","Pink Floyd","Wish You Were Here","Library Songs","Favorite","GBN9Y1100088"
"Wish You Were Here","Neck Deep","The Peace and the Panic","Library Songs","Favorite","USHR21779008"
"The Winner Takes It All","ABBA","ABBA Gold: Greatest Hits","Library Songs","Favorite","SEAYD8001020"
"Wings of a Butterfly","HIM","Dark Light","Library Songs","Favorite","USWB10503444"
"Wind of Change (Re-Recorded)","Scorpions","Comeblack (Special Edition)","Library Songs","Favorite","DEE861101520"
"Wind of Change","Scorpions","Crazy World","Library Songs","Favorite","USPG19090037"
"Will Of The People","Muse","Will Of The People","Library Songs","Favorite","GBAHT2102033"
"Wild One","Green Day","¡Dos!","Library Songs","Favorite","USRE11200501"
"Wild Flowers","Frank Carter & The Rattlesnakes","Modern Ruin","Library Songs","Favorite","GB2ME1601437"
"Wide Open","The Chemical Brothers","Born in the Echoes (Deluxe Edition)","Library Songs","Favorite","GBUM71502374"
"Wicked Moments","The Rasmus","Playboys","Library Songs","Favorite","FIFMF9700361"
"Wicked Game","Chris Isaak","Best Of Chris Isaak","Library Songs","Favorite","USRE10601455"
"Why'd You Only Call Me When You're High?","Arctic Monkeys","AM","Library Songs","Favorite","GBCEL1300370"
"Why Don't You Get a Job","The Offspring","Americana","Library Songs","Favorite","USSM19804369"
"Who's Got a Match?","Biffy Clyro","Puzzle","Library Songs","Favorite","GBFTG0700004"
"Who Wrote Holden Caulfield? (Live)","Green Day","Awesome As Fuck (Live) [Deluxe Edition]","Library Songs","Favorite","USRE11100030"
"Who Wrote Holden Caulfield?","Green Day","Kerplunk","Library Songs","Favorite","USA560436622"
"Who Wants To Live Forever","Queen","The Platinum Collection","Library Songs","Favorite","GBUM71029629"
"Who Only Europe Know (Live)","ROME","Hansa Studios Session II (Live)","Library Songs","Favorite","DEZ902000823"
"Who Is She?","I Monster","Neveroddoreven","Library Songs","Favorite","GBDKA0300194"
"Who Is She X the Perfect Girl (Remix)","Syrus Inc","Tiktok Mashup's (Mix) - Single","Library Songs","Favorite",""
"White Riot (Remastered)","The Clash","The Clash (Remastered)","Library Songs","Favorite","GBARL1200702"
"White Flag for Peace","Disco Ensemble","The Island Of Disco Ensemble","Library Songs","Favorite","FIFR51000045"
"Whistle For The Choir","The Fratellis","Whistle For The Choir - Single","Library Songs","Favorite","GBUM70601572"
"Whiskey In the Jar","Metallica","Garage Inc.","Library Songs","Favorite","GBAMC9800041"
"Whiskey in the Jar","The Dubliners","The Best Of ...","Library Songs","Favorite","GBAYE6700222"
"Where Is My Mind?","Pixies","Surfer Rosa (Remastered)","Library Songs","Favorite","GBAFL0700145"
"When You're Young and In Love","The Flying Pickets","The Original Flying Pickets Vol. One","Library Songs","Favorite","GBAHS0104798"
"When You Were Young","The Killers","Sam's Town","Library Songs","Favorite","USUM70605164"
"When You Know","Neck Deep","All Distortions Are Intentional","Library Songs","Favorite","USHR22079005"
"When We Rule the World","Authority Zero","Broadcasting to the Nations","Library Songs","Favorite","QMEU31705622"
"When We Rule the World","Authority Zero","R&B III","Library Songs","Favorite","QZBLM1800008"
"When the Smoke Is Going Down (2015 - Remaster)","Scorpions","Blackout","Library Songs","Favorite","DELV41501045"
"When I Come Around (Live)","Green Day","Awesome As Fuck (Live) [Deluxe Edition]","Library Songs","Favorite","USRE11100032"
"When I Come Around","Green Day","Dookie","Library Songs","Favorite","USRE11600557"
"When Da Dawgs Come Out To Play (feat. Masta Kent & Bullet Rhymes)","Bai Burea & James Newton Howard","Blood Diamond (Original Motion Picture Soundtrack)","Library Songs","Favorite","US3M50678024"
"Whatsername","Green Day","American Idiot (Deluxe Edition)","Library Songs","Favorite","USRE10400994"
"Whatsername","Green Day","American Idiot","Library Songs","Favorite","USRE11200346"
"What's Left of the Flag","Flogging Molly","Drunken Lullabies","Library Songs","Favorite","USA6G0223002"
"What It Is","Mark Knopfler","The Best of Dire Straits & Mark Knopfler: Private Investigations","Library Songs","Favorite","GBF080000154"
"What I Got","Sublime","Sublime","Library Songs","Favorite","USGA19649251"
"What Do You Need?","The Goo Goo Dolls","Gutterflower","Library Songs","Favorite","USWB11600581"
"What a Scene","The Goo Goo Dolls","Gutterflower","Library Songs","Favorite","USWB11600577"
"What A Life (From the Motion Picture ""Another Round"")","Scarlet Pleasure","What A Life (From the Motion Picture ""Another Round"") - EP","Library Songs","Favorite","DKUM72000463"
"Wet Sand","Red Hot Chili Peppers","Stadium Arcadium","Library Songs","Favorite","USWB11402826"
"Westbound Sign","Green Day","Insomniac","Library Songs","Favorite","USRE11600574"
"Wellwell","The Rasmus","Tähtisarja - 30 Suosikkia","Library Songs","Favorite","FIFMF9700362"
"Welcome to the Jungle","Guns N' Roses","Appetite for Destruction (Super Deluxe)","Library Songs","Favorite","USGF18714801"
"Welcome to the DCC","Nothing But Thieves","Dead Club City","Library Songs","Favorite","GBARL2300061"
"Welcome to the Black Parade","My Chemical Romance","The Black Parade","Library Songs","Favorite","USRE11600405"
"Welcome to Paradise","Green Day","Kerplunk","Library Songs","Favorite","USA560436614"
"Welcome to Paradise","Green Day","Dookie","Library Songs","Favorite","USRE11600552"
"Weird Fishes / Arpeggi","Radiohead","In Rainbows","Library Songs","Favorite","GBSTK0700004"
"We're Not Gonna Take It","Twisted Sister","Stay Hungry","Library Songs","Favorite","USRH11600163"
"We're No Here","Mogwai","Miami Vice (Original Motion Picture Soundtrack)","Library Songs","Favorite","USMTD0668110"
"We're All to Blame","Sum 41","All the Good Sh**: 14 Solid Gold Hits 2000-2008 (Deluxe Edition)","Library Songs","Favorite","USIR20400704"
"We're a Happy Family","Ramones","Hey Ho Let's Go: Greatest Hits","Library Songs","Favorite","USWB11302833"
"We Will Rock You","Queen","The Platinum Collection","Library Songs","Favorite","GBUM71029618"
"We Might Fall Apart","Disco Ensemble","First Aid Kit","Library Songs","Favorite","FIFR50600080"
"We Fell in Love in October","girl in red","we fell in love in october / forget her - Single","Library Songs","Favorite","GBKPL1828677"
"We Drink Your Blood","Powerwolf","Blood of the Saints","Library Songs","Favorite","USMBR1108248"
"We Care a Lot","Faith No More","Introduce Yourself","Library Songs","Favorite","GBAAP0001069"
"We Are Young (feat. Janelle Monáe) [Acoustic]","Fun.","Some Nights (Deluxe)","Library Songs","Favorite","USAT21200122"
"We Are the Champions","Queen","The Platinum Collection","Library Songs","Favorite","GBUM71029619"
"We Are Fucking F****d","Muse","Will Of The People","Library Songs","Favorite","GBAHT2102070"
"We Are All Made of Stars","Moby","18","Library Songs","Favorite","GBAJH0200043"
"We Amplify","Strike Anywhere","Exit English","Library Songs","Favorite","USA6M0408701"
"The Way You Used To Do","Queens of the Stone Age","Villains","Library Songs","Favorite","USMTD1709778"
"The Way It Was","The Killers","Battle Born (Deluxe Edition)","Library Songs","Favorite","USUM71208809"
"Waterloo","ABBA","ABBA Gold: Greatest Hits","Library Songs","Favorite","SEAYD7415010"
"Waterfront (Remastered)","Simple Minds","Sparkle In the Rain (Super Deluxe)","Library Songs","Favorite","GBAAA1300122"
"Waterfall (Remastered)","The Stone Roses","The Stone Roses (Remastered)","Library Songs","Favorite","GBAHJ0900003"
"Wasted Time","Flit","Hide It","Library Songs","Favorite","SEYOK1219691"
"Wart Hog","Ramones","Too Tough to Die","Library Songs","Favorite","USWB11302860"
"Warning","Green Day","Warning:","Library Songs","Favorite","USRE11600577"
"War of Change","Thousand Foot Krutch","The End Is Where We Begin","Library Songs","Favorite","TCABF1202219"
"War Is Over","Von Hertzen Brothers","War Is Over","Library Songs","Favorite","NLB931702913"
"War","Timur Mucuraev","War - EP","Library Songs","Favorite","GBLPF0125459"
"War","Sum 41","13 Voices","Library Songs","Favorite","USHR21610807"
"Want You Bad","The Offspring","Conspiracy of One","Library Songs","Favorite","USSM10016014"
"Wall of Glass","Liam Gallagher","Wall of Glass - Single","Library Songs","Favorite","GBAHT1700306"
"Walking Disaster","Sum 41","All the Good Sh**: 14 Solid Gold Hits 2000-2008 (Deluxe Edition)","Library Songs","Favorite","USUM70740306"
"Walking Contradiction","Green Day","Insomniac","Library Songs","Favorite","USRE11600576"
"Walking Alone","Green Day","Nimrod","Library Songs","Favorite","USRE11600601"
"Walk Of Life (Remastered 1996)","Dire Straits","Brothers In Arms (Remastered 1996)","Library Songs","Favorite","GBUM72102500"
"Walk Away","Franz Ferdinand","You Could Have It So Much Better","Library Songs","Favorite","GBCEL0500829"
"Walk Away","Green Day","¡Tré!","Library Songs","Favorite","USRE11200539"
"Wake Up Call","Nothing But Thieves","Nothing But Thieves (Deluxe)","Library Songs","Favorite","GBARL1500788"
"Wake the Dogs","Donots","Silverhochzeit","Library Songs","Favorite","DEUM71200962"
"Wake Me Up When September Ends (Live)","Green Day","Awesome As Fuck (Live) [Deluxe Edition]","Library Songs","Favorite","USRE11100036"
"Wake Me Up When September Ends","Green Day","American Idiot (Deluxe Edition)","Library Songs","Favorite","USRE10400992"
"Wake Me Up When September Ends","Green Day","American Idiot","Library Songs","Favorite","USRE11200344"
"Waiting for the Worms","Pink Floyd","The Wall (Remastered)","Library Songs","Favorite","GBN9Y1100117"
"Waiting","Green Day","Warning:","Library Songs","Favorite","USRE11600586"
"W Marszu I W Boju","Horytnica","Głos Patriotów","Library Songs","Favorite","QZFZ31954489"
"Vse Vkusno","ynchq","? Concepta - Single","Library Songs","Favorite","RUAGV2302577"
"Voyage voyage","Desireless","François","Library Songs","Favorite","DEQ858600201"
"Voulez-Vous","ABBA","ABBA Gold: Greatest Hits","Library Songs","Favorite","SEAYD7901020"
"Vois sur ton chemin (Techno Mix)","BENNETT","Vois sur ton chemin (Techno Mix)","Library Songs","Favorite","DEA622301801"
"Voices","Alice In Chains","The Devil Put Dinosaurs Here","Library Songs","Favorite","USVI21300007"
"Viva La Vida","Coldplay","Viva La Vida or Death and All His Friends","Library Songs","Favorite","GBAYE1600217"
"Violent End","Blank Generation","Out of My Head","Library Songs","Favorite","GBKYA0803502"
"The Violence","Rise Against","Wolves","Library Songs","Favorite","USUM71703493"
"Viking Death March","Billy Talent","Dead Silence","Library Songs","Favorite","CAW111200168"
"Victoria","The Fall","The Frenz Experiment","Library Songs","Favorite","GBAZP8800044"
"Victoria","The Kinks","Arthur (Or the Decline and Fall of the British Empire)","Library Songs","Favorite","GB5KW1704174"
"Vicinity Of Obscenity","System Of A Down","Hypnotize","Library Songs","Favorite","USSM10505338"
"Very Ape","Nirvana","In Utero (20th Anniversary Edition)","Library Songs","Favorite","USGF19960707"
"Verona","Muse","Will Of The People","Library Songs","Favorite","GBAHT2102040"
"Vera","Pink Floyd","The Wall (Remastered)","Library Songs","Favorite","GBN9Y1100111"
"Venger (feat. Greta Link)","Perturbator","The Uncanny Valley","Library Songs","Favorite","TCACK1577661"
"Vélomoteur","Les Calamites","Encore ! 1983-1987","Library Songs","Favorite","FR0Q12201305"
"Vapaus saa odottaa","Pariisin Kevät","Musta laatikko","Library Songs","Favorite","FIBAR1500090"
"Vampire Heart","HIM","Dark Light","Library Songs","Favorite","USWB10503874"
"Valasy","Nürnberg","Skryvaj","Library Songs","Favorite","RUA3R1825016"
"Uropia O Morte (Live)","ROME","Hansa Studios Session II (Live)","Library Songs","Favorite","DEZ902000826"
"Uptight","Green Day","Nimrod","Library Songs","Favorite","USRE11600597"
"Uprising","Muse","The Resistance","Library Songs","Favorite","GBAHT1500308"
"Up, Up, Up","The Goo Goo Dolls","Gutterflower","Library Songs","Favorite","USWB11600578"
"Unperson","Nothing But Thieves","Moral Panic","Library Songs","Favorite","GBARL2000645"
"Unintended","Muse","Showbiz","Library Songs","Favorite","GBAHT1500248"
"The Unforgiven II","Metallica","Reload","Library Songs","Favorite","GBAMC9700004"
"The Unforgiven","Metallica","Metallica","Library Songs","Favorite","GBF089190016"
"Undone - The Sweater Song","Weezer","Weezer (Deluxe Edition)","Library Songs","Favorite","USGF19962905"
"Undisclosed Desires","Muse","The Resistance","Library Songs","Favorite","GBAHT1500310"
"Underdog","Kasabian","West Ryder Pauper Lunatic Asylum","Library Songs","Favorite","GBARL0801796"
"Underclass Hero","Sum 41","All the Good Sh**: 14 Solid Gold Hits 2000-2008 (Deluxe Edition)","Library Songs","Favorite","USUM70740305"
"Under Your Spell","Desire","Under Your Spell - EP","Library Songs","Favorite","QMMMF0900001"
"Under Your Scars","Godsmack","When Legends Rise","Library Songs","Favorite","QMRSZ1703241"
"Under the Bridge","Red Hot Chili Peppers","Greatest Hits","Library Songs","Favorite","USWB11403541"
"Under Pressure (feat. David Bowie)","Queen","The Platinum Collection","Library Songs","Favorite","GBUM71404523"
"Un Giorno Così","883","La Dura Legge Del Gol","Library Songs","Favorite","ITQ000001011"
"Un autre monde","Téléphone","Best Of","Library Songs","Favorite","GB0028414500"
"Uber Capitalist Death Trade","Cabbage","Uber Capitalist Death Trade - EP","Library Songs","Favorite","GBB4T1600015"
"Two Hearts Beat As One","U2","War","Library Songs","Favorite","GBUM70713144"
"Twist and Shout","The Beatles","Please Please Me","Library Songs","Favorite","GBAYE0601423"
"Twenty Four Hours (Live)","Joy Division","Closer (Collector's Edition)","Library Songs","Favorite","GBAAP0700086"
"Twenty Four Hours","Joy Division","Closer (Collector's Edition)","Library Songs","Favorite","GBAAP0600157"
"Turn Me Loose","The Longshot","Love Is for Losers","Library Songs","Favorite","US39N1844570"
"Tucked Away","The Goo Goo Dolls","Gutterflower","Library Songs","Favorite","USWB11600583"
"Tubthumping","Chumbawamba","Massive Hits!: Alternative","Library Songs","Favorite","DEA349700542"
"Tu vuò fà l'americano","Vega","Non ho l'età","Library Songs","Favorite","ES6061729606"
"Try Honesty","Billy Talent","Billy Talent","Library Songs","Favorite","USAT20301013"
"Truth Is a Whisper","The Goo Goo Dolls","Gutterflower","Library Songs","Favorite","USWB11600584"
"True North","Bad Religion","True North","Library Songs","Favorite","USEP41237017"
"True Love Waits","Radiohead","A Moon Shaped Pool","Library Songs","Favorite","GBBKS1600081"
"Troublemaker","Green Day","¡Uno!","Library Songs","Favorite","USRE11200256"
"Troubled Times","Green Day","Revolution Radio","Library Songs","Favorite","USRE11600447"
"Trouble Breathing","Alkaline Trio","Goddamnit","Library Songs","Favorite","USB750800034"
"The Trooper","Iron Maiden","Piece of Mind","Library Songs","Favorite","GBCHB1500031"
"The Trooper","Iron Maiden","Somewhere Back In Time (The Best of 1980-1989)","Library Songs","Favorite","GBCHB1500183"
"Trip Switch","Nothing But Thieves","Nothing But Thieves (Deluxe)","Library Songs","Favorite","GBARL1500806"
"The Trial","Pink Floyd","The Wall (Remastered)","Library Songs","Favorite","GBN9Y1100119"
"Travellin' In the Dark (To E.M.P.) [Live]","Mountain","Nantucket Sleighride","Library Songs","Favorite","USSM10213771"
"Travellin' In the Dark (To E.M.P.)","Mountain","Nantucket Sleighride","Library Songs","Favorite","USSM10103004"
"Transmission","Joy Division","The Best of Joy Division","Library Songs","Favorite","GBAAP9700178"
"Toxicity","System Of A Down","Toxicity","Library Songs","Favorite","USSM10107262"
"Tous les garçons et les filles (Slow)","Françoise Hardy","Tous les garçons et les filles","Library Songs","Favorite","FRZ196200010"
"Tourette's","Nirvana","In Utero (20th Anniversary Edition)","Library Songs","Favorite","USGF19960711"
"Totally Wired","The Fall","Grotesque (After the Gramme) [Expanded Edition]","Library Songs","Favorite","GBAJE8000208"
"Toss a Coin to Your Witcher (feat. Black Gryph0n) [Cover]","Samuel Kim","Toss a Coin to Your Witcher (feat. Black Gryph0n) [Cover] - Single","Library Songs","Favorite","QZFYW2016510"
"Torna a casa","Måneskin","Il ballo della vita","Library Songs","Favorite","ITB001800483"
"Torna a casa","Måneskin","Torna a casa - Single","Library Songs","Favorite","ITB001800483"
"Too Much Too Soon (Bonus Track)","Green Day","American Idiot (Deluxe Edition)","Library Songs","Favorite","USRE10400887"
"Too Much Feeling","Disco Ensemble","Warriors","Library Songs","Favorite","FIBAR1200180"
"Too Dumb to Die","Green Day","Revolution Radio","Library Songs","Favorite","USRE11600446"
"Tonight, Tonight","The Smashing Pumpkins","Mellon Collie and the Infinite Sadness (Remastered)","Library Songs","Favorite","USVI21200893"
"Tomorrow Is Closed","Nothing But Thieves","Dead Club City","Library Songs","Favorite","GBARL2300062"
"Tomorrow (Remastered)","Silverchair","Frogstomp 20th Anniversary (Remastered)","Library Songs","Favorite","AUBM01500029"
"Tom's Diner (feat. Suzanne Vega) [7"" Version]","DNA","The Best of Suzanne Vega - Tried and True","Library Songs","Favorite","USAM19104302"
"Told You So","Paramore","After Laughter","Library Songs","Favorite","USAT21701004"
"Today We Heard the News","Authority Zero","R&B III","Library Songs","Favorite","QZBLM1800010"
"Today","The Smashing Pumpkins","Siamese Dream","Library Songs","Favorite","USVI21100148"
"To the World","Strike Anywhere","Exit English","Library Songs","Favorite","USA6M0408704"
"Tired of Sex","Weezer","Pinkerton","Library Songs","Favorite","USGF19600701"
"Tired Angels (To J.M.H.)","Mountain","Nantucket Sleighride","Library Songs","Favorite","USSM10025316"
"The Tipping Point","Authority Zero","R&B III","Library Songs","Favorite","QZBLM1800005"
"Time to Waste","Alkaline Trio","Crimson","Library Songs","Favorite","USVR90540901"
"Time Is Running Out","Muse","Absolution","Library Songs","Favorite","GBAHT1500270"
"Time in a Bottle","Jim Croce","You Don't Mess Around With Jim","Library Songs","Favorite","GBAJE7200780"
"Time & Place","Queens of the Stone Age","In Times New Roman...","Library Songs","Favorite","USMTD2200641"
"Time","feel so sleep","Feel So Sleep","Library Songs","Favorite","TCJPI1823174"
"Tightrope 2020","Papa Roach","Tightrope 2020 - Single","Library Songs","Favorite","ZZOPM2002586"
"Tight Wad Hill","Green Day","Insomniac","Library Songs","Favorite","USRE11600575"
"The Tide Is High (Remastered 2001)","Blondie","Autoamerican (Remastered 2001)","Library Songs","Favorite","USCH30100024"
"Thunderstruck","AC/DC","The Razors Edge","Library Songs","Favorite","AUAP09000014"
"Thunderstruck","AC/DC","Iron Man 2","Library Songs","Favorite","AUAP09000014"
"Thunder Road","Bruce Springsteen","Born to Run","Library Songs","Favorite","USSM19904335"
"Thunder","Imagine Dragons","Evolve","Library Songs","Favorite","USUM71704167"
"Thought Contagion","Muse","Simulation Theory (Super Deluxe)","Library Songs","Favorite","GBAHT1800046"
"Thorn In My Side","Eurythmics","Eurythmics: Ultimate Collection (Remastered)","Library Songs","Favorite","GBARL0300632"
"Thistle & Weeds","Mumford & Sons","Sigh No More (Deluxe)","Library Songs","Favorite","GBUM70909099"
"This Suffering","Billy Talent","Billy Talent II","Library Songs","Favorite","USAT20612282"
"This Is War","Thirty Seconds to Mars","This Is War","Library Songs","Favorite","USVI20900430"
"This Is the Life","Amy Macdonald","This Is the Life (Deluxe Edition)","Library Songs","Favorite","GBUM70607840"
"This Is the End (For You My Friend)","Anti-Flag","For Blood and Empire","Library Songs","Favorite","USRC10503706"
"This Is My Head Exploding","Disco Ensemble","First Aid Kit","Library Songs","Favorite","FIFR50600079"
"This Is More Like You","Quarterboy","This Is More Like You - Single","Library Songs","Favorite","QZHNC2325501"
"This Is Mine","(space in brackets)","The Album","Library Songs","Favorite","DEG320700041"
"This Is How It Goes","Billy Talent","Billy Talent","Library Songs","Favorite","USAT20301650"
"This Is How I Disappear","My Chemical Romance","The Black Parade","Library Songs","Favorite","USRE11600403"
"This Charming Man","The Smiths","The Smiths","Library Songs","Favorite","GBCRL1300299"
"Think About Me","The Goo Goo Dolls","Gutterflower","Library Songs","Favorite","USWB11600574"
"The Thin Ice","Pink Floyd","The Wall (Remastered)","Library Songs","Favorite","GBN9Y1100096"
"These Days (Live)","Joy Division","Closer (Collector's Edition)","Library Songs","Favorite","GBAAP0700090"
"These Days","Joy Division","Substance 1977-1980","Library Songs","Favorite","GBCRL1500094"
"There Is a Light That Never Goes Out","The Smiths","The Sound of The Smiths","Library Songs","Favorite","GBCRL1300346"
"Thème de la Leçon Particulière (Break Beat Version)","Francis Lai Orchestra","Sexy Sports: Vinyl Oddities & Break Beats 1960-1984, Vol. 6","Library Songs","Favorite","US39N2303563"
"Them Bones","Alice In Chains","Dirt (Remastered)","Library Songs","Favorite","USSM19200799"
"Thank You for the Music","ABBA","ABBA Gold: Greatest Hits","Library Songs","Favorite","SEAYD7702080"
"Territorial Pissings","Nirvana","Nevermind (Deluxe Edition)","Library Songs","Favorite","USGF19942507"
"Terrible Things","Mayday Parade","Valdosta - EP","Library Songs","Favorite","USAT21002171"
"Terrible Love","The National","High Violet","Library Songs","Favorite","GBAFL1000094"
"Tenebre Rosso Sangue (ULTRAKILL) (Original Game Soundtrack)","Keygen Church","Tenebre Rosso Sangue (ULTRAKILL) (Original Game Soundtrack) - Single","Library Songs","Favorite","TCAGR2257113"
"Ten Storey Love Song","The Stone Roses","Second Coming","Library Songs","Favorite","USIR10001062"
"Teenagers","My Chemical Romance","The Black Parade","Library Songs","Favorite","USRE11600411"
"Teenage Lobotomy","Ramones","Hey Ho Let's Go: Greatest Hits","Library Songs","Favorite","USWB11302834"
"Tdme","Antytila","Hello","Library Songs","Favorite","UAME11730052"
"Tchaikovsky: 1812 Ouverture, Op. 49 Solennelle","Sir Adrian Boult & Pyotr Ilyich Tchaikovsky","Tchaikovsky: 1812 Ouverture, Op. 49 Solennelle - Hamlet (Fantasy Overture), Op. 67","Library Songs","Favorite",""
"Taxi Driver","The Longshot","Love Is for Losers","Library Songs","Favorite","US39N1844562"
"Tämän Kylän Poikii","Pariisin Kevät","Astronautti","Library Songs","Favorite","FIBAR1000108"
"Take the Money and Crawl","Green Day","Father of All Motherfuckers","Library Songs","Favorite","USRE11900389"
"Take or Leave It","Authority Zero","R&B III","Library Songs","Favorite","QZBLM1800002"
"Take on Me","Weezer","Weezer (Teal Album)","Library Songs","Favorite","USAT21900632"
"Take Me Out","Franz Ferdinand","Franz Ferdinand","Library Songs","Favorite","GBCEL0300192"
"Take Me Home, Country Roads (Original Version)","John Denver","Poems, Prayers & Promises","Library Songs","Favorite","USRC11100481"
"Take Back","Green Day","Nimrod","Library Songs","Favorite","USRE11600603"
"Take a Look Around","Limp Bizkit","Chocolate Starfish and the Hot Dog Flavored Water","Library Songs","Favorite","USIR10000604"
"Take a Chance On Me","ABBA","ABBA Gold: Greatest Hits","Library Songs","Favorite","SEAYD7702020"
"Take a Bow","Muse","Black Holes and Revelations","Library Songs","Favorite","GBAHT1500283"
"The System Only Dreams in Total Darkness","The National","Sleep Well Beast","Library Songs","Favorite","GBAFL1700209"
"System Error","Tonebox","Nocturn","Library Songs","Favorite","TCACR1669320"
"Sympathy for the Devil","The Rolling Stones","Hot Rocks 1964-1971","Library Songs","Favorite","USA176810010"
"Sympathy","The Goo Goo Dolls","Gutterflower","Library Songs","Favorite","USWB11600580"
"Swing Lynn","Harmless","I'm Sure","Library Songs","Favorite","TCACS1610798"
"Swing Life Away","Rise Against","Siren Song of the Counter Culture (Deluxe)","Library Songs","Favorite","USDW10400796"
"Sweetness","Jimmy Eat World","Bleed American","Library Songs","Favorite","USDW10110258"
"Sweet Dreams (Are Made of This)","Weezer","Weezer (Teal Album)","Library Songs","Favorite","USAT21900631"
"Sweet Dreams","Puppetmaster","My Name Is...","Library Songs","Favorite","GBSMU1572078"
"Sweet Children","Green Day","Kerplunk","Library Songs","Favorite","USA560436624"
"Sweet 16","Green Day","¡Uno!","Library Songs","Favorite","USRE11200250"
"Swap Meet","Nirvana","Bleach","Library Songs","Favorite","USSUB0983409"
"Survivor Guilt","Rise Against","Endgame","Library Songs","Favorite","USUM71101044"
"Survival","Muse","The 2nd Law","Library Songs","Favorite","GBAHT1200333"
"Surrender","Billy Talent","Billy Talent II","Library Songs","Favorite","USAT20612289"
"Surrender","U2","War","Library Songs","Favorite","GBUM70713140"
"Surprise Surprise","Billy Talent","Dead Silence","Library Songs","Favorite","CAW111200169"
"Sur la planche 2013","La Femme","Psycho Tropical Berlin (Bonus Track Version)","Library Songs","Favorite","FR9W11215240"
"Supremacy","Muse","The 2nd Law","Library Songs","Favorite","GBAHT1200401"
"Supersonic (Remastered)","Oasis","Definitely Maybe (Deluxe Edition Remastered)","Library Songs","Favorite","GBQCP1400058"
"Supermassive Black Hole","Muse","Black Holes and Revelations","Library Songs","Favorite","GBAHT1500285"
"Supergirl","Reamonn","Tuesday","Library Songs","Favorite","DEG120000973"
"Superblood Wolfmoon","Pearl Jam","Gigaton","Library Songs","Favorite","USUG11904400"
"Superbitch","Authority Zero","A Passage In Time","Library Songs","Favorite","USAT20201701"
"Super Trouper","ABBA","ABBA Gold: Greatest Hits","Library Songs","Favorite","SEAYD8001010"
"Sunglasses at Night","Corey Hart","Corey Hart: The Singles","Library Songs","Favorite","USEM38400043"
"Sunday Bloody Sunday","U2","War","Library Songs","Favorite","GBUM70713138"
"Sunday","The Cranberries","Everybody Else Is Doing It, So Why Can't We?","Library Songs","Favorite","USIR29300081"
"Sunburn","Muse","Showbiz","Library Songs","Favorite","GBAHT1500242"
"Summer Sickness","Authority Zero","R&B III","Library Songs","Favorite","QZBLM1800011"
"Summer Sickness","Authority Zero","Broadcasting to the Nations","Library Songs","Favorite","QMEU31705616"
